rank,target,target_label,model,model_label,pair_type,feature_a,feature_a_label,feature_b,feature_b_label,mean_abs_interaction,mean_signed_interaction,test_rows,run_dir
21,thm4_in_avg,THM4,rf,Random Forest,pairwise_interaction,ph_in_avg,pH,temp_in_avg,Temperature,0.0008018500861811167,0.000179995031778157,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_thm4_avg/20260331T214748Z
1,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,br_in_avg,Bromide,cl2d_in_avg,Cl2 dose,0.07353655963166525,0.04243640138755269,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
2,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,uv_in_avg,UV254,br_in_avg,Bromide,0.04011844207923648,0.022025561266993503,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
3,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,toc_in_avg,TOC,br_in_avg,Bromide,0.03077634633602463,-0.0022741759661235803,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
4,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,toc_in_avg,TOC,cl2d_in_avg,Cl2 dose,0.023123244159213317,-0.005680925752128864,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
5,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,uv_in_avg,UV254,cl2d_in_avg,Cl2 dose,0.02039882550622369,0.011394280332446827,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
6,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,br_in_avg,Bromide,time_sds_avg,Contact time,0.01584276713306427,-0.0004303017318881716,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
7,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,cl2d_in_avg,Cl2 dose,time_sds_avg,Contact time,0.010809438337423791,-0.0023896208554728374,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
8,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,ph_in_avg,pH,br_in_avg,Bromide,0.009989170882551938,-0.0023293850913891365,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
9,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,uv_in_avg,UV254,toc_in_avg,TOC,0.00938795008933678,-0.005404430107737602,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
10,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,toc_in_avg,TOC,time_sds_avg,Contact time,0.008267670425344468,0.003490467500155046,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
11,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,temp_in_avg,Temperature,br_in_avg,Bromide,0.007289858066101682,0.00122910165151919,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
12,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,temp_in_avg,Temperature,cl2d_in_avg,Cl2 dose,0.007250842320826593,-0.001414706690069178,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
13,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,uv_in_avg,UV254,time_sds_avg,Contact time,0.006519174018841837,-0.002562503984973702,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
14,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,ph_in_avg,pH,cl2d_in_avg,Cl2 dose,0.005508022921821869,-0.001591929846656873,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
15,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,ph_in_avg,pH,toc_in_avg,TOC,0.004152042676548843,-0.0007669300110581788,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
16,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,temp_in_avg,Temperature,toc_in_avg,TOC,0.003922134195073484,-0.0011009579296082466,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
17,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,ph_in_avg,pH,time_sds_avg,Contact time,0.0032917753155505916,-0.0017043738639437624,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
18,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,ph_in_avg,pH,uv_in_avg,UV254,0.0027085252182407977,0.00014226630784755677,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
19,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,temp_in_avg,Temperature,time_sds_avg,Contact time,0.0026273202847765242,0.000836882792391322,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
20,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,uv_in_avg,UV254,temp_in_avg,Temperature,0.002432191634107345,-0.0007130791405203248,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
21,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,ph_in_avg,pH,temp_in_avg,Temperature,0.0016390757478500068,0.00034056152520566446,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
1,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,uv_in_avg,UV254,br_in_avg,Bromide,0.040396664291620255,0.006965099833905697,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
2,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,temp_in_avg,Temperature,br_in_avg,Bromide,0.03420969098806381,-0.006208083592355251,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
3,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,br_in_avg,Bromide,cl2d_in_avg,Cl2 dose,0.021343305706977844,0.0072176093235611916,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
4,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,ph_in_avg,pH,br_in_avg,Bromide,0.01737428642809391,0.0020440013613551855,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
5,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,br_in_avg,Bromide,time_sds_avg,Contact time,0.01642906293272972,-0.00438228715211153,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
6,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,temp_in_avg,Temperature,time_sds_avg,Contact time,0.012227613478899002,-0.0006167574902065098,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
7,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,uv_in_avg,UV254,cl2d_in_avg,Cl2 dose,0.011844947934150696,-0.0037470448296517134,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
8,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,toc_in_avg,TOC,br_in_avg,Bromide,0.0108241718262434,-0.0035469387657940388,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
9,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,temp_in_avg,Temperature,cl2d_in_avg,Cl2 dose,0.009753324091434479,-0.0036546667106449604,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
10,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,temp_in_avg,Temperature,toc_in_avg,TOC,0.009460118599236012,0.0024676555767655373,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
11,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,ph_in_avg,pH,time_sds_avg,Contact time,0.006832527462393045,-0.004651665221899748,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
12,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,toc_in_avg,TOC,time_sds_avg,Contact time,0.006161878816783428,0.0008416757918894291,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
13,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,ph_in_avg,pH,temp_in_avg,Temperature,0.005639317445456982,-0.0016500561032444239,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
14,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,ph_in_avg,pH,uv_in_avg,UV254,0.004641947336494923,-0.0019090622663497925,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
15,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,uv_in_avg,UV254,temp_in_avg,Temperature,0.004427162930369377,-0.0026649159844964743,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
16,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,uv_in_avg,UV254,time_sds_avg,Contact time,0.004371945746243,-0.00020585747552104294,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
17,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,uv_in_avg,UV254,toc_in_avg,TOC,0.004078003577888012,0.000569347117561847,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
18,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,ph_in_avg,pH,cl2d_in_avg,Cl2 dose,0.003012100700289011,-0.0008117820834740996,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
19,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,toc_in_avg,TOC,cl2d_in_avg,Cl2 dose,0.002431116532534361,0.0001925843534991145,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
20,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,cl2d_in_avg,Cl2 dose,time_sds_avg,Contact time,0.0022760408464819193,-0.0009272885508835316,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
21,dbcm_in_avg,DBCM,xgb,XGBoost,pairwise_interaction,ph_in_avg,pH,toc_in_avg,TOC,0.0021879132837057114,0.0009167658281512558,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_dbcm_avg/20260331T225500Z
